,Community_Name,Agg_Ass,TOT_POP,EMP,FOR_BORN,COMMperc,INSTperc,VACperc,LING_ISO,TOT_COMM,WORK_AT_HOME,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,White,Hisp,Black,Asian,Other,EMP_rate
256,West Garfield Park,478,17163,4565,121,0.044268957000000005,0.053820726,0.143702425,135,4279,164,2437,117,1432,117,133,201,22564,18,103,0.27
257,East Garfield Park,505,19996,5959,426,0.031256214,0.066714092,0.136872346,197,5639,259,2644,281,2338,236,235,207,20296,25,118,0.3
258,Near West Side,701,62872,35286,11169,0.107995959,0.155967965,0.056406379000000006,3986,32692,2048,11735,1232,8820,10026,11731,4415,24546,4861,866,0.56
259,North Lawndale,863,35947,11064,1169,0.035104055,0.061707924000000004,0.144766948,965,10376,459,5076,988,3673,455,383,1896,39164,54,271,0.31
260,South Lawndale,549,74851,25763,28772,0.036603254,0.10827716400000001,0.075782124,25195,24684,793,13099,5284,4115,1974,3210,75613,11759,116,373,0.34
261,Lower West Side,411,32888,16640,11449,0.038704341,0.052797323,0.038583413,9138,15855,457,6947,1378,5276,1931,3587,39144,774,121,405,0.51
262,The Loop,126,35880,22828,8256,0.201401369,0.032174467000000005,0.044588046,2037,20744,1847,5068,730,5423,8989,10169,975,3221,1625,398,0.64
263,Near South Side,168,23620,16092,4972,0.281168602,0.042586872000000005,0.073322884,1246,14676,1169,6810,937,4093,2006,2393,377,6052,516,171,0.68
264,Armour Square,74,13455,5849,7813,0.1404289,0.01764803,0.023159421,6578,5492,183,1984,934,1138,1265,2062,448,2046,7305,171,0.43
265,Douglas,473,20781,8306,3585,0.048570137,0.219301489,0.11584497699999999,1604,7454,510,3278,432,2688,886,1745,295,22635,1390,405,0.4
266,Oakland,109,6645,2509,605,0.006141936,0.170415137,0.10711109,107,2271,146,1154,178,774,159,40,58,5957,8,47,0.38
267,Fuller Park,108,2439,650,106,0.036541775,0.043940457,0.11519739699999999,70,623,3,306,29,271,17,18,116,3225,6,55,0.27
268,Grand Boulevard,833,22313,8735,489,0.038042947,0.10118705800000001,0.201758491,222,8099,330,4182,690,2708,348,173,236,27370,21,206,0.39
269,Kenwood,138,17189,8039,2054,0.039071716,0.08115558,0.030673695,688,7216,597,3679,282,2526,619,2915,301,13900,785,462,0.47
270,Washington Park,506,11502,3651,166,0.021456036,0.047957518,0.17277519100000002,159,3380,132,1537,268,1228,284,74,134,13798,5,135,0.32
271,Hyde Park,91,26827,13741,5315,0.038700603,0.169456667,0.004407,1643,12288,965,3351,442,3602,4732,13020,1230,11290,3366,1014,0.51
272,Woodlawn,554,23268,7773,1196,0.026756925,0.10659886199999999,0.092221472,495,7127,449,3400,366,2271,994,761,288,25518,207,312,0.33
273,South Shore,965,50418,18598,1623,0.050344819000000006,0.038404554,0.043771218,952,17529,788,8256,1211,7301,529,703,636,59405,85,727,0.37
274,Chatham,433,31120,12360,627,0.094716866,0.036553046,0.038734253999999996,194,11407,591,6168,971,3778,302,121,220,36538,24,372,0.4
275,Avalon Park,128,9985,3486,160,0.056123677999999996,0.053758216,0.030787392,60,3157,216,2065,412,640,8,96,85,10816,19,131,0.35
276,South Chicago,554,28263,10283,2528,0.030754781000000002,0.034227959,0.284880238,2009,9760,221,5183,743,3475,231,1135,10565,26253,49,594,0.36
277,Burnside,51,2254,867,122,0.037428532,0.018896003999999997,0.08053956400000001,40,812,13,460,138,214,0,40,34,3180,7,33,0.38
278,Calumet Heights,142,13188,5652,528,0.032071222,0.02698524,0.063002524,266,5352,213,3355,367,1484,118,206,747,14817,33,171,0.43
279,Roseland,890,42433,14259,984,0.023322982000000003,0.10444277800000001,0.047977099,443,13463,453,7774,1009,4248,326,276,363,51568,31,485,0.34
280,Pullman,112,6613,2911,217,0.041264445,0.12136634199999999,0.155440678,246,2723,72,1591,221,854,57,757,795,7262,15,92,0.44
281,South Deering,151,14614,4907,1711,0.009157851,0.005804064,0.09175217599999999,1468,4601,179,3152,389,955,78,1287,5176,10335,8,184,0.34
282,East Side,126,23737,9032,6721,0.030613174,0.052316499999999995,0.068175072,5455,8853,99,6495,967,1028,339,6951,16113,242,57,290,0.38
283,West Pullman,608,27742,9653,993,0.019740853,0.038494341,0.095007491,925,8992,364,6005,866,1796,163,328,1699,34277,16,329,0.35
284,Riverdale,228,7394,1766,193,0.012719251,0.025894307999999998,0.1003405,140,1674,32,783,142,637,102,66,160,9479,7,97,0.24
285,Hegewisch,37,9418,4285,1516,0.014328831,0.005197825,0.127414316,1070,4229,5,3203,269,617,139,6553,2820,130,32,246,0.45
286,Garfield Ridge,142,36396,16962,8386,0.037285938,0.020475518,0.015452816999999999,6031,16172,321,12161,1571,2086,314,24878,5948,4419,328,528,0.47
287,Archer Heights,56,13142,5956,5207,0.041067888999999996,0.029570742999999997,0.025772852000000002,4234,5659,109,3638,741,988,262,6752,5485,74,48,285,0.45
288,Brighton Park,211,44813,18601,20224,0.045612207,0.026892445,0.032222292,16721,18027,179,10422,2995,3575,820,8300,34409,221,1288,694,0.42
289,McKinley Park,97,15767,6986,5574,0.067740793,0.027319146000000002,0.045995361,4381,6615,189,3413,864,1945,340,4607,9819,116,1212,208,0.44
290,Bridgeport,110,33637,17004,12067,0.041780364,0.024600043,0.056633067999999995,9171,16379,445,8235,2336,4026,1553,13819,10165,354,8808,548,0.51
291,New City,761,39561,14730,11936,0.052660833,0.028469063,0.099342446,10389,14302,230,7604,2639,3051,934,6789,25948,18252,146,586,0.37
292,West Elsdon,52,19237,8466,7212,0.062774539,0.020345065,0.01533463,5704,7973,156,5216,835,1554,310,7461,7875,74,136,375,0.44
293,Gage Park,231,40873,16980,16294,0.045310849,0.068439113,0.015087651,13973,16053,283,8714,3411,3086,819,4811,31079,2743,161,399,0.42
294,Clearing,47,25891,11986,4652,0.027611632,0.012099101999999999,0.009517199,3259,11620,113,8505,884,1692,418,17047,4688,137,152,307,0.46
295,West Lawn,103,33108,14241,11409,0.08952308699999999,0.055976738,0.020547618,8877,13401,168,8882,2034,2019,445,12540,15179,760,272,484,0.43
296,Chicago Lawn,539,53098,20135,12800,0.04675933400000001,0.028974019,0.023442663,10104,18991,414,11732,2513,4090,577,6190,21534,32240,393,1055,0.38
297,West Englewood,1159,29929,8386,829,0.025515227999999997,0.047332367,0.135948635,751,7946,245,4508,626,2421,346,164,459,44271,29,359,0.28
298,Englewood,1152,25075,6251,582,0.019448062,0.08642525699999999,0.21518815800000002,337,5759,299,2728,291,2503,114,178,347,39352,27,318,0.25
299,Greater Grand Crossing,771,31766,10824,446,0.036001256,0.11250483,0.061569457,384,9977,447,5207,798,3674,226,146,276,37779,26,392,0.34
300,Ashburn,135,43792,19383,7216,0.04253106,0.058748866,0.013211711000000001,4598,18354,409,13110,2296,2777,44,14546,6674,17045,408,911,0.44
301,Auburn Gresham,786,46278,16330,839,0.037528885,0.045228179,0.05059591099999999,191,15311,697,9475,1136,4388,200,237,347,54862,45,437,0.35
302,Beverly,45,20822,10089,669,0.032415404,0.020944956,0.00517878,179,9425,458,6698,575,1897,188,13814,643,7006,121,408,0.48
303,Washington Heights,257,27453,10943,445,0.030388966,0.046209574,0.028291755,151,10398,357,6513,1170,2439,159,193,231,29108,9,302,0.4
304,Mount Greenwood,36,19277,9620,780,0.021176028,0.302072543,0.001684261,307,9242,186,7769,565,664,215,17127,723,672,61,237,0.5
305,Morgan Park,159,22394,9005,628,0.050611643,0.086804676,0.027012585,258,8508,280,6406,477,1386,190,7510,533,16816,83,284,0.4
306,O'Hare,26,12377,6387,6360,0.016379907,0.006558517,0.016387306,3226,6066,137,4611,341,972,45,9486,761,249,864,305,0.52
307,Edgewater,137,55965,32474,15364,0.069528336,0.055594915999999994,0.007403945,8363,29968,2068,11565,1545,13696,2438,29782,12176,10564,7172,2504,0.58
308,Rogers Park,303,55062,29897,14829,0.051667977000000004,0.06826966799999999,0.0038319770000000003,8712,27807,1642,10392,1460,12738,2690,20170,17639,18767,4063,2845,0.54
309,West Ridge,136,76215,34858,32603,0.061967847,0.074809337,0.005105979,19659,33060,1084,19904,3370,6268,2857,36403,11353,4962,16347,4134,0.46
310,Uptown,284,57973,34325,14913,0.046728924000000005,0.163844779,0.005521509,9292,31736,2204,10771,1523,15636,3043,26784,12674,13415,8206,2472,0.59
311,Lincoln Square,100,41715,25776,9408,0.033233893,0.23374557399999998,0.008872271,4524,23588,1695,11052,1285,9320,1655,23716,11831,1342,5921,1764,0.62
312,North Center,104,35789,21477,3906,0.056080915999999995,0.058203609,0.006447161999999999,1423,19373,1915,9445,1047,7049,1626,21938,6496,1333,1324,804,0.6
313,Lake View,173,100470,72712,12521,0.062235988,0.048324245,0.005172184,3399,66885,4918,21283,2860,36259,5253,75363,8268,4193,5143,1850,0.72
314,Lincoln Park,120,67710,44327,7416,0.123330525,0.051959017999999996,0.013707608,2160,40668,3040,14662,1736,18874,4118,54341,3254,3323,2325,1077,0.65
315,Near North Side,541,88893,58780,14156,0.16900114,0.069032192,0.034271055,3474,53218,4673,14511,1586,15552,17808,50397,2805,13884,4434,1291,0.66
316,Edison Park,11,11605,6425,1131,0.032737421,0.014791873999999998,0.001054205,537,6027,276,4793,252,732,189,10572,463,19,200,74,0.55
317,Norwood Park,37,37089,18734,7392,0.035020787000000005,0.070588994,0.00486901,3806,17752,700,14038,1307,1912,399,33176,2404,332,1212,419,0.51
318,Jefferson Park,35,26808,14103,7486,0.038887655,0.017652678999999998,0.005038411,4878,13314,381,8919,1335,2750,270,21101,2881,81,1237,559,0.53
319,Forest Glen,16,19019,9299,3596,0.023239372999999997,0.020934808,0.0034040579999999997,1726,8676,423,6561,705,1250,104,14793,1389,71,1586,326,0.49
320,North Park,41,18842,8552,7503,0.04912086400000001,0.242300205,0.005179235999999999,4476,7939,343,4802,1010,1429,618,10336,2652,452,4415,659,0.45
321,Albany Park,164,51992,27098,21813,0.06104993,0.043773182,0.004454222,16221,25715,919,13090,2222,8606,1548,15866,26741,1907,10178,2963,0.52
322,Portage Park,126,64307,34010,20362,0.057603037,0.035612347,0.004225240999999999,14633,32604,1032,21993,3261,6128,873,45418,15022,336,2467,2097,0.53
323,Irving Park,188,54606,29533,16632,0.050651654000000004,0.034570209,0.0056766690000000005,11538,27273,1806,15149,2354,8094,1424,25912,25401,1121,4362,1847,0.54
324,Dunning,63,43689,22210,13114,0.028606141,0.150536865,0.015352435,8326,21629,306,16609,1887,2246,440,34394,5441,234,1315,780,0.51
325,Montclare,35,13830,6233,4064,0.087129941,0.045062073,0.007162476,3661,6009,99,4278,698,709,137,6892,4865,264,337,288,0.45
326,Belmont Cragin,361,79910,37066,31218,0.096747989,0.05852566,0.003336457,27375,35671,695,22809,4845,5765,1340,21881,50881,2000,1989,1393,0.46
327,Hermosa,139,24144,11852,8471,0.035209475,0.025484201,0.003424262,8442,11427,333,7191,1210,2165,565,3086,22574,649,319,280,0.49
328,Avondale,216,37368,19896,12179,0.079068924,0.021646218999999998,0.011752772,9886,18811,825,9427,1890,6124,1061,12757,26700,669,953,2004,0.53
329,Logan Square,511,73046,44373,12280,0.081929104,0.03081277,0.015697633,11035,40990,2714,20081,2395,14267,3541,21742,53833,4290,1087,1763,0.61
330,Humboldt Park,958,56427,22324,10342,0.059036245,0.044720736,0.06684593700000001,10599,21431,495,11558,2594,5453,1110,2184,31607,31207,239,599,0.4
331,West Town,598,84502,57405,12859,0.055349687,0.04530586599999999,0.023015097999999998,9033,52365,4046,22254,3755,19672,5681,34445,40966,7979,1510,2535,0.68
332,Austin,1462,95260,34730,4929,0.045057915999999996,0.045091215,0.03890882,4188,32898,1059,19392,2400,9761,923,5662,4841,105369,642,1013,0.36
333,West Garfield Park,538,17163,4565,121,0.044268957000000005,0.053820726,0.143702425,135,4279,164,2437,117,1432,117,133,201,22564,18,103,0.27
334,East Garfield Park,581,19996,5959,426,0.031256214,0.066714092,0.136872346,197,5639,259,2644,281,2338,236,235,207,20296,25,118,0.3
335,Near West Side,683,62872,35286,11169,0.107995959,0.155967965,0.056406379000000006,3986,32692,2048,11735,1232,8820,10026,11731,4415,24546,4861,866,0.56
336,North Lawndale,870,35947,11064,1169,0.035104055,0.061707924000000004,0.144766948,965,10376,459,5076,988,3673,455,383,1896,39164,54,271,0.31
337,South Lawndale,518,74851,25763,28772,0.036603254,0.10827716400000001,0.075782124,25195,24684,793,13099,5284,4115,1974,3210,75613,11759,116,373,0.34
338,Lower West Side,312,32888,16640,11449,0.038704341,0.052797323,0.038583413,9138,15855,457,6947,1378,5276,1931,3587,39144,774,121,405,0.51
339,The Loop,142,35880,22828,8256,0.201401369,0.032174467000000005,0.044588046,2037,20744,1847,5068,730,5423,8989,10169,975,3221,1625,398,0.64
340,Near South Side,143,23620,16092,4972,0.281168602,0.042586872000000005,0.073322884,1246,14676,1169,6810,937,4093,2006,2393,377,6052,516,171,0.68
341,Armour Square,69,13455,5849,7813,0.1404289,0.01764803,0.023159421,6578,5492,183,1984,934,1138,1265,2062,448,2046,7305,171,0.43
342,Douglas,429,20781,8306,3585,0.048570137,0.219301489,0.11584497699999999,1604,7454,510,3278,432,2688,886,1745,295,22635,1390,405,0.4
343,Oakland,68,6645,2509,605,0.006141936,0.170415137,0.10711109,107,2271,146,1154,178,774,159,40,58,5957,8,47,0.38
344,Fuller Park,96,2439,650,106,0.036541775,0.043940457,0.11519739699999999,70,623,3,306,29,271,17,18,116,3225,6,55,0.27
345,Grand Boulevard,621,22313,8735,489,0.038042947,0.10118705800000001,0.201758491,222,8099,330,4182,690,2708,348,173,236,27370,21,206,0.39
346,Kenwood,123,17189,8039,2054,0.039071716,0.08115558,0.030673695,688,7216,597,3679,282,2526,619,2915,301,13900,785,462,0.47
347,Washington Park,382,11502,3651,166,0.021456036,0.047957518,0.17277519100000002,159,3380,132,1537,268,1228,284,74,134,13798,5,135,0.32
348,Hyde Park,102,26827,13741,5315,0.038700603,0.169456667,0.004407,1643,12288,965,3351,442,3602,4732,13020,1230,11290,3366,1014,0.51
349,Woodlawn,520,23268,7773,1196,0.026756925,0.10659886199999999,0.092221472,495,7127,449,3400,366,2271,994,761,288,25518,207,312,0.33
350,South Shore,939,50418,18598,1623,0.050344819000000006,0.038404554,0.043771218,952,17529,788,8256,1211,7301,529,703,636,59405,85,727,0.37
351,Chatham,447,31120,12360,627,0.094716866,0.036553046,0.038734253999999996,194,11407,591,6168,971,3778,302,121,220,36538,24,372,0.4
352,Avalon Park,105,9985,3486,160,0.056123677999999996,0.053758216,0.030787392,60,3157,216,2065,412,640,8,96,85,10816,19,131,0.35
353,South Chicago,592,28263,10283,2528,0.030754781000000002,0.034227959,0.284880238,2009,9760,221,5183,743,3475,231,1135,10565,26253,49,594,0.36
354,Burnside,35,2254,867,122,0.037428532,0.018896003999999997,0.08053956400000001,40,812,13,460,138,214,0,40,34,3180,7,33,0.38
355,Calumet Heights,138,13188,5652,528,0.032071222,0.02698524,0.063002524,266,5352,213,3355,367,1484,118,206,747,14817,33,171,0.43
356,Roseland,906,42433,14259,984,0.023322982000000003,0.10444277800000001,0.047977099,443,13463,453,7774,1009,4248,326,276,363,51568,31,485,0.34
357,Pullman,134,6613,2911,217,0.041264445,0.12136634199999999,0.155440678,246,2723,72,1591,221,854,57,757,795,7262,15,92,0.44
358,South Deering,209,14614,4907,1711,0.009157851,0.005804064,0.09175217599999999,1468,4601,179,3152,389,955,78,1287,5176,10335,8,184,0.34
359,East Side,118,23737,9032,6721,0.030613174,0.052316499999999995,0.068175072,5455,8853,99,6495,967,1028,339,6951,16113,242,57,290,0.38
360,West Pullman,608,27742,9653,993,0.019740853,0.038494341,0.095007491,925,8992,364,6005,866,1796,163,328,1699,34277,16,329,0.35
361,Riverdale,281,7394,1766,193,0.012719251,0.025894307999999998,0.1003405,140,1674,32,783,142,637,102,66,160,9479,7,97,0.24
362,Hegewisch,37,9418,4285,1516,0.014328831,0.005197825,0.127414316,1070,4229,5,3203,269,617,139,6553,2820,130,32,246,0.45
363,Garfield Ridge,171,36396,16962,8386,0.037285938,0.020475518,0.015452816999999999,6031,16172,321,12161,1571,2086,314,24878,5948,4419,328,528,0.47
364,Archer Heights,54,13142,5956,5207,0.041067888999999996,0.029570742999999997,0.025772852000000002,4234,5659,109,3638,741,988,262,6752,5485,74,48,285,0.45
365,Brighton Park,212,44813,18601,20224,0.045612207,0.026892445,0.032222292,16721,18027,179,10422,2995,3575,820,8300,34409,221,1288,694,0.42
366,McKinley Park,77,15767,6986,5574,0.067740793,0.027319146000000002,0.045995361,4381,6615,189,3413,864,1945,340,4607,9819,116,1212,208,0.44
367,Bridgeport,151,33637,17004,12067,0.041780364,0.024600043,0.056633067999999995,9171,16379,445,8235,2336,4026,1553,13819,10165,354,8808,548,0.51
368,New City,825,39561,14730,11936,0.052660833,0.028469063,0.099342446,10389,14302,230,7604,2639,3051,934,6789,25948,18252,146,586,0.37
369,West Elsdon,48,19237,8466,7212,0.062774539,0.020345065,0.01533463,5704,7973,156,5216,835,1554,310,7461,7875,74,136,375,0.44
370,Gage Park,242,40873,16980,16294,0.045310849,0.068439113,0.015087651,13973,16053,283,8714,3411,3086,819,4811,31079,2743,161,399,0.42
371,Clearing,55,25891,11986,4652,0.027611632,0.012099101999999999,0.009517199,3259,11620,113,8505,884,1692,418,17047,4688,137,152,307,0.46
372,West Lawn,100,33108,14241,11409,0.08952308699999999,0.055976738,0.020547618,8877,13401,168,8882,2034,2019,445,12540,15179,760,272,484,0.43
373,Chicago Lawn,597,53098,20135,12800,0.04675933400000001,0.028974019,0.023442663,10104,18991,414,11732,2513,4090,577,6190,21534,32240,393,1055,0.38
374,West Englewood,1134,29929,8386,829,0.025515227999999997,0.047332367,0.135948635,751,7946,245,4508,626,2421,346,164,459,44271,29,359,0.28
375,Englewood,1045,25075,6251,582,0.019448062,0.08642525699999999,0.21518815800000002,337,5759,299,2728,291,2503,114,178,347,39352,27,318,0.25
376,Greater Grand Crossing,833,31766,10824,446,0.036001256,0.11250483,0.061569457,384,9977,447,5207,798,3674,226,146,276,37779,26,392,0.34
377,Ashburn,149,43792,19383,7216,0.04253106,0.058748866,0.013211711000000001,4598,18354,409,13110,2296,2777,44,14546,6674,17045,408,911,0.44
378,Auburn Gresham,753,46278,16330,839,0.037528885,0.045228179,0.05059591099999999,191,15311,697,9475,1136,4388,200,237,347,54862,45,437,0.35
379,Beverly,39,20822,10089,669,0.032415404,0.020944956,0.00517878,179,9425,458,6698,575,1897,188,13814,643,7006,121,408,0.48
380,Washington Heights,246,27453,10943,445,0.030388966,0.046209574,0.028291755,151,10398,357,6513,1170,2439,159,193,231,29108,9,302,0.4
381,Mount Greenwood,31,19277,9620,780,0.021176028,0.302072543,0.001684261,307,9242,186,7769,565,664,215,17127,723,672,61,237,0.5
382,Morgan Park,163,22394,9005,628,0.050611643,0.086804676,0.027012585,258,8508,280,6406,477,1386,190,7510,533,16816,83,284,0.4
383,O'Hare,32,12377,6387,6360,0.016379907,0.006558517,0.016387306,3226,6066,137,4611,341,972,45,9486,761,249,864,305,0.52
384,Edgewater,153,55965,32474,15364,0.069528336,0.055594915999999994,0.007403945,8363,29968,2068,11565,1545,13696,2438,29782,12176,10564,7172,2504,0.58
385,Rogers Park,102,55062,29897,14829,0.051667977000000004,0.06826966799999999,0.0038319770000000003,8712,27807,1642,10392,1460,12738,2690,20170,17639,18767,4063,2845,0.54
386,West Ridge,65,76215,34858,32603,0.061967847,0.074809337,0.005105979,19659,33060,1084,19904,3370,6268,2857,36403,11353,4962,16347,4134,0.46
387,Uptown,88,57973,34325,14913,0.046728924000000005,0.163844779,0.005521509,9292,31736,2204,10771,1523,15636,3043,26784,12674,13415,8206,2472,0.59
388,Lincoln Square,33,41715,25776,9408,0.033233893,0.23374557399999998,0.008872271,4524,23588,1695,11052,1285,9320,1655,23716,11831,1342,5921,1764,0.62
389,North Center,32,35789,21477,3906,0.056080915999999995,0.058203609,0.006447161999999999,1423,19373,1915,9445,1047,7049,1626,21938,6496,1333,1324,804,0.6
390,Lake View,54,100470,72712,12521,0.062235988,0.048324245,0.005172184,3399,66885,4918,21283,2860,36259,5253,75363,8268,4193,5143,1850,0.72
391,Lincoln Park,37,67710,44327,7416,0.123330525,0.051959017999999996,0.013707608,2160,40668,3040,14662,1736,18874,4118,54341,3254,3323,2325,1077,0.65
392,Near North Side,145,88893,58780,14156,0.16900114,0.069032192,0.034271055,3474,53218,4673,14511,1586,15552,17808,50397,2805,13884,4434,1291,0.66
393,Jefferson Park,16,26808,14103,7486,0.038887655,0.017652678999999998,0.005038411,4878,13314,381,8919,1335,2750,270,21101,2881,81,1237,559,0.53
394,Albany Park,61,51992,27098,21813,0.06104993,0.043773182,0.004454222,16221,25715,919,13090,2222,8606,1548,15866,26741,1907,10178,2963,0.52
395,Irving Park,63,54606,29533,16632,0.050651654000000004,0.034570209,0.0056766690000000005,11538,27273,1806,15149,2354,8094,1424,25912,25401,1121,4362,1847,0.54
396,Belmont Cragin,122,79910,37066,31218,0.096747989,0.05852566,0.003336457,27375,35671,695,22809,4845,5765,1340,21881,50881,2000,1989,1393,0.46
397,Hermosa,44,24144,11852,8471,0.035209475,0.025484201,0.003424262,8442,11427,333,7191,1210,2165,565,3086,22574,649,319,280,0.49
398,Avondale,60,37368,19896,12179,0.079068924,0.021646218999999998,0.011752772,9886,18811,825,9427,1890,6124,1061,12757,26700,669,953,2004,0.53
399,Logan Square,161,73046,44373,12280,0.081929104,0.03081277,0.015697633,11035,40990,2714,20081,2395,14267,3541,21742,53833,4290,1087,1763,0.61
400,Humboldt Park,285,56427,22324,10342,0.059036245,0.044720736,0.06684593700000001,10599,21431,495,11558,2594,5453,1110,2184,31607,31207,239,599,0.4
401,West Town,179,84502,57405,12859,0.055349687,0.04530586599999999,0.023015097999999998,9033,52365,4046,22254,3755,19672,5681,34445,40966,7979,1510,2535,0.68
402,Austin,434,95260,34730,4929,0.045057915999999996,0.045091215,0.03890882,4188,32898,1059,19392,2400,9761,923,5662,4841,105369,642,1013,0.36
403,West Garfield Park,135,17163,4565,121,0.044268957000000005,0.053820726,0.143702425,135,4279,164,2437,117,1432,117,133,201,22564,18,103,0.27
404,East Garfield Park,152,19996,5959,426,0.031256214,0.066714092,0.136872346,197,5639,259,2644,281,2338,236,235,207,20296,25,118,0.3
405,Near West Side,195,62872,35286,11169,0.107995959,0.155967965,0.056406379000000006,3986,32692,2048,11735,1232,8820,10026,11731,4415,24546,4861,866,0.56
406,North Lawndale,245,35947,11064,1169,0.035104055,0.061707924000000004,0.144766948,965,10376,459,5076,988,3673,455,383,1896,39164,54,271,0.31
407,South Lawndale,139,74851,25763,28772,0.036603254,0.10827716400000001,0.075782124,25195,24684,793,13099,5284,4115,1974,3210,75613,11759,116,373,0.34
408,Lower West Side,106,32888,16640,11449,0.038704341,0.052797323,0.038583413,9138,15855,457,6947,1378,5276,1931,3587,39144,774,121,405,0.51
409,Near South Side,38,23620,16092,4972,0.281168602,0.042586872000000005,0.073322884,1246,14676,1169,6810,937,4093,2006,2393,377,6052,516,171,0.68
410,Armour Square,19,13455,5849,7813,0.1404289,0.01764803,0.023159421,6578,5492,183,1984,934,1138,1265,2062,448,2046,7305,171,0.43
411,Douglas,69,20781,8306,3585,0.048570137,0.219301489,0.11584497699999999,1604,7454,510,3278,432,2688,886,1745,295,22635,1390,405,0.4
412,Grand Boulevard,137,22313,8735,489,0.038042947,0.10118705800000001,0.201758491,222,8099,330,4182,690,2708,348,173,236,27370,21,206,0.39
413,Washington Park,116,11502,3651,166,0.021456036,0.047957518,0.17277519100000002,159,3380,132,1537,268,1228,284,74,134,13798,5,135,0.32
414,Woodlawn,154,23268,7773,1196,0.026756925,0.10659886199999999,0.092221472,495,7127,449,3400,366,2271,994,761,288,25518,207,312,0.33
415,South Shore,274,50418,18598,1623,0.050344819000000006,0.038404554,0.043771218,952,17529,788,8256,1211,7301,529,703,636,59405,85,727,0.37
416,Chatham,158,31120,12360,627,0.094716866,0.036553046,0.038734253999999996,194,11407,591,6168,971,3778,302,121,220,36538,24,372,0.4
417,Avalon Park,35,9985,3486,160,0.056123677999999996,0.053758216,0.030787392,60,3157,216,2065,412,640,8,96,85,10816,19,131,0.35
418,South Chicago,182,28263,10283,2528,0.030754781000000002,0.034227959,0.284880238,2009,9760,221,5183,743,3475,231,1135,10565,26253,49,594,0.36
419,Burnside,13,2254,867,122,0.037428532,0.018896003999999997,0.08053956400000001,40,812,13,460,138,214,0,40,34,3180,7,33,0.38
420,Calumet Heights,44,13188,5652,528,0.032071222,0.02698524,0.063002524,266,5352,213,3355,367,1484,118,206,747,14817,33,171,0.43
421,Roseland,282,42433,14259,984,0.023322982000000003,0.10444277800000001,0.047977099,443,13463,453,7774,1009,4248,326,276,363,51568,31,485,0.34
422,Pullman,38,6613,2911,217,0.041264445,0.12136634199999999,0.155440678,246,2723,72,1591,221,854,57,757,795,7262,15,92,0.44
423,South Deering,75,14614,4907,1711,0.009157851,0.005804064,0.09175217599999999,1468,4601,179,3152,389,955,78,1287,5176,10335,8,184,0.34
424,East Side,34,23737,9032,6721,0.030613174,0.052316499999999995,0.068175072,5455,8853,99,6495,967,1028,339,6951,16113,242,57,290,0.38
425,West Pullman,178,27742,9653,993,0.019740853,0.038494341,0.095007491,925,8992,364,6005,866,1796,163,328,1699,34277,16,329,0.35
426,Riverdale,55,7394,1766,193,0.012719251,0.025894307999999998,0.1003405,140,1674,32,783,142,637,102,66,160,9479,7,97,0.24
427,Hegewisch,16,9418,4285,1516,0.014328831,0.005197825,0.127414316,1070,4229,5,3203,269,617,139,6553,2820,130,32,246,0.45
428,Garfield Ridge,55,36396,16962,8386,0.037285938,0.020475518,0.015452816999999999,6031,16172,321,12161,1571,2086,314,24878,5948,4419,328,528,0.47
429,Archer Heights,18,13142,5956,5207,0.041067888999999996,0.029570742999999997,0.025772852000000002,4234,5659,109,3638,741,988,262,6752,5485,74,48,285,0.45
430,Brighton Park,49,44813,18601,20224,0.045612207,0.026892445,0.032222292,16721,18027,179,10422,2995,3575,820,8300,34409,221,1288,694,0.42
431,McKinley Park,21,15767,6986,5574,0.067740793,0.027319146000000002,0.045995361,4381,6615,189,3413,864,1945,340,4607,9819,116,1212,208,0.44
432,Bridgeport,38,33637,17004,12067,0.041780364,0.024600043,0.056633067999999995,9171,16379,445,8235,2336,4026,1553,13819,10165,354,8808,548,0.51
433,New City,247,39561,14730,11936,0.052660833,0.028469063,0.099342446,10389,14302,230,7604,2639,3051,934,6789,25948,18252,146,586,0.37
434,Gage Park,87,40873,16980,16294,0.045310849,0.068439113,0.015087651,13973,16053,283,8714,3411,3086,819,4811,31079,2743,161,399,0.42
435,Clearing,26,25891,11986,4652,0.027611632,0.012099101999999999,0.009517199,3259,11620,113,8505,884,1692,418,17047,4688,137,152,307,0.46
436,Chicago Lawn,194,53098,20135,12800,0.04675933400000001,0.028974019,0.023442663,10104,18991,414,11732,2513,4090,577,6190,21534,32240,393,1055,0.38
437,West Englewood,320,29929,8386,829,0.025515227999999997,0.047332367,0.135948635,751,7946,245,4508,626,2421,346,164,459,44271,29,359,0.28
438,Englewood,273,25075,6251,582,0.019448062,0.08642525699999999,0.21518815800000002,337,5759,299,2728,291,2503,114,178,347,39352,27,318,0.25
439,Greater Grand Crossing,234,31766,10824,446,0.036001256,0.11250483,0.061569457,384,9977,447,5207,798,3674,226,146,276,37779,26,392,0.34
440,Ashburn,63,43792,19383,7216,0.04253106,0.058748866,0.013211711000000001,4598,18354,409,13110,2296,2777,44,14546,6674,17045,408,911,0.44
441,Auburn Gresham,240,46278,16330,839,0.037528885,0.045228179,0.05059591099999999,191,15311,697,9475,1136,4388,200,237,347,54862,45,437,0.35
