,Community_Name,Agg_Ass,TOT_POP,EMP,FOR_BORN,COMMperc,INSTperc,VACperc,LING_ISO,TOT_COMM,WORK_AT_HOME,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,White,Hisp,Black,Asian,Other,EMP_rate
128,East Side,123,23737,9032,6721,0.030613174,0.052316499999999995,0.068175072,5455,8853,99,6495,967,1028,339,6951,16113,242,57,290,0.38
129,West Pullman,565,27742,9653,993,0.019740853,0.038494341,0.095007491,925,8992,364,6005,866,1796,163,328,1699,34277,16,329,0.35
130,Riverdale,282,7394,1766,193,0.012719251,0.025894307999999998,0.1003405,140,1674,32,783,142,637,102,66,160,9479,7,97,0.24
131,Hegewisch,54,9418,4285,1516,0.014328831,0.005197825,0.127414316,1070,4229,5,3203,269,617,139,6553,2820,130,32,246,0.45
132,Garfield Ridge,145,36396,16962,8386,0.037285938,0.020475518,0.015452816999999999,6031,16172,321,12161,1571,2086,314,24878,5948,4419,328,528,0.47
133,Archer Heights,53,13142,5956,5207,0.041067888999999996,0.029570742999999997,0.025772852000000002,4234,5659,109,3638,741,988,262,6752,5485,74,48,285,0.45
134,Brighton Park,223,44813,18601,20224,0.045612207,0.026892445,0.032222292,16721,18027,179,10422,2995,3575,820,8300,34409,221,1288,694,0.42
135,McKinley Park,99,15767,6986,5574,0.067740793,0.027319146000000002,0.045995361,4381,6615,189,3413,864,1945,340,4607,9819,116,1212,208,0.44
136,Bridgeport,145,33637,17004,12067,0.041780364,0.024600043,0.056633067999999995,9171,16379,445,8235,2336,4026,1553,13819,10165,354,8808,548,0.51
137,New City,787,39561,14730,11936,0.052660833,0.028469063,0.099342446,10389,14302,230,7604,2639,3051,934,6789,25948,18252,146,586,0.37
138,West Elsdon,40,19237,8466,7212,0.062774539,0.020345065,0.01533463,5704,7973,156,5216,835,1554,310,7461,7875,74,136,375,0.44
